condition,subset,n,correct_rate,correct_converge_rate,avg_questions,std_questions,avg_cost,std_cost,avg_duration,std_duration,avg_confidence,std_confidence,ci_accuracy_lower,ci_accuracy_upper,ci_convergence_lower,ci_convergence_upper,ci_questions,ci_cost,ci_duration
ADAPTIVE-EIG-COST-AWARE,all,969,0.8730650154798761,0.7708978328173375,7.440660474716203,4.39440360394865,200.12899896800826,277.927150354295,28.183673455373174,14.878615530891896,0.909089977992923,0.14890789914458522,2.244437067221085,1.949801935773678,2.750015056302601,2.5360683840897593,0.27669042154650403,17.499480548770983,0.9368211876514169
ADAPTIVE-EIG-COST-AWARE,correct,846,1.0,0.8829787234042553,7.209219858156028,4.166074321066129,193.22695035460993,270.0680177869988,27.460850511318686,14.235845323708391,0.931909630800453,0.1088130549201398,0.45203717963440226,2.842170943040401e-14,2.3412416426504166,1.9950003986751312,0.2807358677917312,18.198854243393207,0.9592993505880127
ADAPTIVE-EIG-COST-AWARE,incorrect,123,0.0,0.0,9.032520325203253,5.48460581746256,247.60162601626016,324.19721127827904,33.15528492423577,18.00727596699762,0.7521352928289359,0.2558872514233602,0.0,3.028659367273828,0.0,3.028659367273828,0.9692792946503627,57.294481086483295,3.182376332733602
ADAPTIVE-PD-COST-AWARE,all,968,0.8791322314049587,0.7789256198347108,7.381198347107438,4.320933127456587,245.44938016528926,355.84094944597706,27.954434155432647,14.496127094730886,0.9210395018379879,0.12404404969527855,2.204805531973136,1.905070599826729,2.7215941267945993,2.501080688975719,0.2722048993789624,22.41683612814251,0.9132094158394299
ADAPTIVE-PD-COST-AWARE,correct,851,1.0,0.8860164512338425,7.188014101057579,4.176674407993657,246.22796709753231,365.6041603804715,27.33010697168693,14.075456899563067,0.9377962812875448,0.09184201001318891,0.4493931975233778,0.0,2.3108952675762424,1.9639489329430262,0.28062212729857594,24.56418844591284,0.9457008787410379
ADAPTIVE-PD-COST-AWARE,incorrect,117,0.0,0.0,8.786324786324787,5.054579793969473,239.7863247863248,275.7985218215692,32.495480594471985,16.624158561847505,0.7991589949014672,0.22230135910444654,0.0,3.179037682387522,0.0,3.179037682387522,0.9159002918266419,49.975261429863835,3.01233184533647
ADAPTIVE-PD-EIG-COST-AWARE,all,968,0.8657024793388429,0.7634297520661157,7.410123966942149,4.418184289367386,214.95867768595042,304.9898676790334,27.989545662048435,14.936305551387205,0.9137368617361922,0.1397509303703057,2.2931896836640107,2.004072065190357,2.7780765135182293,2.5698138222448534,0.2783314100102432,19.21338141422288,0.9409392438577241
ADAPTIVE-PD-EIG-COST-AWARE,correct,838,1.0,0.8818615751789977,7.1968973747016705,4.239050401594341,211.6706443914081,308.6415897789551,27.2735541376123,14.356019272067178,0.934939282136965,0.10076192021594392,0.45633287782402476,2.842170943040401e-14,2.36161063929994,2.013098656236238,0.2870137098859233,20.897219734455124,0.9720040952851392
ADAPTIVE-PD-EIG-COST-AWARE,incorrect,130,0.0,0.0,8.784615384615385,5.247346491300291,236.15384615384616,280.49550457336676,32.60493718110598,17.61574246612856,0.7770627979219785,0.24244714705691855,0.0,2.870258574314712,0.0,2.870258574314712,0.9020365547743945,48.218123006465994,3.028205526409226
EIG,all,999,0.8598598598598599,0.7827827827827828,7.079079079079079,4.2950725312677145,418.72872872872875,612.3612562055905,34.821163754802086,18.930091474787567,0.9264419911537309,0.1255048965743041,2.2907682255149666,2.0150641387204757,2.662782501269561,2.446130472008221,0.26634455911212557,37.973535397616615,1.1738863153298946
