condition,subset,n,correct_rate,correct_converge_rate,avg_questions,std_questions,avg_cost,std_cost,avg_duration,std_duration,avg_confidence,std_confidence,ci_accuracy_lower,ci_accuracy_upper,ci_convergence_lower,ci_convergence_upper,ci_questions,ci_cost,ci_duration
ADAPTIVE-EIG-COST-AWARE,all,200,0.7,0.675,4.8,3.1158534486666474,263.9,1062.5002701743672,45.48993378996849,32.135801249116625,0.9639377009324162,0.07799816108194486,6.679195993326452,5.9253557565936035,6.768143156955013,6.108532949813792,0.43183525613619256,147.25502462635544,4.453794824494244
ADAPTIVE-EIG-COST-AWARE,correct,140,1.0,0.9642857142857143,5.378571428571429,3.292607497341871,350.82142857142856,1260.9292865678724,50.94083434683936,33.51791400286162,0.9716891375090425,0.06943062212180984,2.6707155648991687,0.0,4.516429812113415,2.0364796447070432,0.545421202163781,208.87323128510752,5.5522502953120325
ADAPTIVE-EIG-COST-AWARE,incorrect,60,0.0,0.0,3.45,2.134661486282298,61.083333333333336,45.95587111997204,32.771165823936464,24.523893250489472,0.9458510155869544,0.09320602160756605,0.0,6.017393047793289,0.0,6.017393047793289,0.5401438812292318,11.628439802529597,6.205401169363194
ADAPTIVE-PD-COST-AWARE,all,200,0.73,0.725,5.05,3.2029352116221843,360.25,1552.8944242815815,46.73359885931015,33.130542352224204,0.9717658135156776,0.04198818078261955,6.543561541202209,5.676645268959447,6.568465952514657,5.72039568619023,0.44390417273648636,215.22018686375202,4.591658907682586
ADAPTIVE-PD-COST-AWARE,correct,146,1.0,0.9931506849315068,5.609589041095891,3.274506096310652,439.2808219178082,1795.719622317051,52.163597242472925,34.63953128102578,0.9814045955031252,0.026087872324774684,2.5637740120233588,0.0,3.0925787170200607,0.5639248969422397,0.5311601034039254,291.28503420684865,5.618904493054161
ADAPTIVE-PD-COST-AWARE,incorrect,54,0.0,0.0,3.537037037037037,2.4472777557311947,146.57407407407408,410.6837649419104,32.05249211964784,23.18920285250772,0.9457054029570232,0.061723158192228594,0.0,6.64158667810019,0.0,6.64158667810019,0.6527433472440997,109.53848403974794,6.185075582213928
ADAPTIVE-PD-EIG-COST-AWARE,all,200,0.675,0.65,4.995,3.280056225771306,321.625,1435.6757323355039,45.111742227077485,33.34005670161422,0.960427120643117,0.08217219475244072,6.768143156955013,6.108532949813792,6.836664238134233,6.271284060584605,0.45459259998354457,198.9745050002019,4.620696115055662
ADAPTIVE-PD-EIG-COST-AWARE,correct,135,1.0,0.9629629629629629,5.511111111111111,3.2641578344435493,433.9259259259259,1736.9368930941293,49.02451916623998,33.0248151151582,0.9746966849688746,0.05039103505109229,2.7668940720936632,0.0,4.673474763554893,2.111535807912631,0.5506305934910438,293.0037825404213,5.57095412326822
ADAPTIVE-PD-EIG-COST-AWARE,incorrect,65,0.0,0.0,3.923076923076923,3.0685282114745798,88.38461538461539,101.6969598100916,36.985205507278444,32.762236336142145,0.9307903331973133,0.11982151310067804,0.0,5.580346767071073,0.0,5.580346767071073,0.7459840012879062,24.723352620405258,7.964764365464532
EIG,all,200,0.685,0.66,4.65,3.174569175059221,681.325,1848.8646847423524,55.54289288282394,38.04028290028214,0.9637253618096292,0.07266259030272867,6.735084141033603,6.0377819220557285,6.811632967790715,6.208560778404447,0.43997284064191117,256.2395721912186,5.272114231420657
