condition,subset,n,correct_rate,correct_converge_rate,avg_questions,std_questions,avg_cost,std_cost,avg_duration,std_duration,avg_confidence,std_confidence,ci_accuracy_lower,ci_accuracy_upper,ci_convergence_lower,ci_convergence_upper,ci_questions,ci_cost,ci_duration
EIG,all,200,0.78,0.69,7.43,4.570508477039887,534.775,676.552986908991,50.42651475429535,35.28701745783872,0.8838854184526315,0.19724056136818505,6.238922791962565,5.183546460536604,6.717305491262195,6.0011572663660075,0.6334401573667586,93.76546015557076,4.890531109128026
EIG,correct,156,1.0,0.8846153846153846,6.737179487179487,4.014670161982425,526.5705128205128,660.020479762213,45.320497002357094,30.319061831018622,0.9370740710182154,0.124595671348767,2.4033793455521106,0.0,5.962829506380999,4.114076163648633,0.6300044867511236,103.5741036799136,4.757836688181231
EIG,incorrect,44,0.0,0.0,9.886363636363637,5.537256096117984,563.8636363636364,739.5338440895799,68.52966860207644,44.933927600161,0.6953074684473797,0.27826664280551744,0.0,8.029831778201396,0.0,8.029831778201396,1.6361546201957127,218.51828681836722,13.277127149326738
LLM-SELECT,all,200,0.32,0.055,11.275,4.854607198865463,1288.5,1174.2434750482828,246.14736808538436,151.97281650229894,0.5465804283594197,0.30143459308552195,6.073570392294741,6.7520266053543025,2.40149791986299,4.07879244659355,0.6728142313817007,162.74184269825668,21.062357784539707
LLM-SELECT,correct,64,1.0,0.171875,12.015625,4.333304716022722,1433.515625,1356.3755039400012,272.7341494783759,156.83207457657824,0.4932557088717131,0.2623208437887191,5.66260229711564,0.0,7.30985873268377,11.02594149016591,1.0616596554255668,332.3119984653003,38.423858271261665
LLM-SELECT,incorrect,136,0.0,0.0,10.926470588235293,5.059105985933317,1220.2573529411766,1076.7128163231005,233.635941547506,148.57239327605646,0.5716744140006934,0.3159805882266575,0.0,2.747108156657246,0.0,2.747108156657246,0.8502769283000898,180.96163011213335,24.97035613331847
RANDOM-EIG,all,200,0.64,0.365,11.31,4.21696740209736,1316.2,1180.274672060507,34.24833979249001,14.593138542214447,0.71227910062053,0.2965466389695502,6.858600434373173,6.3309122686601995,6.35958378123517,6.868425941029841,0.5844418642288697,163.57772395823577,2.0225058155109426
RANDOM-EIG,correct,128,1.0,0.5703125,10.5703125,4.195392286426607,1191.9140625,1243.177621603529,31.64664363488555,14.290922382176712,0.8521400931832045,0.19995977284261476,2.9137995898108073,0.0,8.657475306345418,8.247722239028278,0.726814632190147,215.36953498152866,2.4757759908327017
RANDOM-EIG,incorrect,72,0.0,0.0,12.625,3.951956192378513,1537.1527777777778,1030.841590537027,38.87357740600904,14.059740487446836,0.463637336064664,0.277489460405364,0.0,5.0652939811396385,0.0,5.0652939811396385,0.9128553073771183,238.11225913930036,3.24763436119626
