condition,subset,n,correct_rate,correct_converge_rate,avg_questions,std_questions,avg_cost,std_cost,avg_duration,std_duration,avg_confidence,std_confidence,ci_accuracy_lower,ci_accuracy_upper,ci_convergence_lower,ci_convergence_upper,ci_questions,ci_cost,ci_duration
ADAPTIVE-EIG-COST-AWARE,all,994,0.864185110663984,0.6680080482897385,11.241448692152918,3.3539221623317617,273.29476861167,254.90719562512757,55.37807176674396,16.28292844231972,0.8013901004712541,0.30370074124156743,2.2705287572957786,1.9901128032752666,2.98739525253508,2.8580320914261534,0.20850470451668693,15.846923968576327,1.012267732883778
ADAPTIVE-EIG-COST-AWARE,correct,859,1.0,0.7729918509895227,10.663562281722934,3.2405087335892877,257.7182770663562,254.6419347736735,52.27477454084456,14.926520530603266,0.8977003614963164,0.18046490891146327,0.44522656302153507,0.0,2.9192933684944933,2.6762069213965987,0.21670687311971837,17.029010561818808,0.9982011642849309
ADAPTIVE-EIG-COST-AWARE,incorrect,135,0.0,0.0,14.91851851851852,0.5991517866621742,372.4074074074074,234.2564067935503,75.12423707820751,9.143956749506504,0.18857147661548723,0.19275917697524106,0.0,2.766894072093667,0.0,2.766894072093667,0.1010708797227182,39.51669951149929,1.5424935273375113
ADAPTIVE-PD-COST-AWARE,all,994,0.8601609657947686,0.6770623742454729,11.180080482897385,3.422390228729814,290.8853118712274,281.8968459344443,55.43834895699077,17.08008531564391,0.7926796572931443,0.3128989325509736,2.2950572401081786,2.01773980491663,2.970310154990784,2.833975326516722,0.21276118790007878,17.524801030231323,1.0618249230274965
ADAPTIVE-PD-COST-AWARE,correct,855,1.0,0.7871345029239766,10.566081871345029,3.2999922599918112,268.67836257309943,269.21356659276427,52.13691679190474,15.823745817797521,0.8946694209095313,0.18743264167492296,0.44730017735517436,0.0,2.869088348868587,2.612217720703228,0.22120041389227724,18.045543038905,1.0606749496532724
ADAPTIVE-PD-COST-AWARE,incorrect,139,0.0,0.0,14.956834532374101,0.43189007587516265,427.48201438848923,318.5101038717243,75.74571946885088,8.170381181038955,0.16533255015637593,0.16195022189141461,0.0,2.6894126080917604,0.0,2.6894126080917604,0.07179957871440731,52.95072184266199,1.3582852663284704
ADAPTIVE-PD-EIG-COST-AWARE,all,994,0.8480885311871227,0.6810865191146881,11.215291750503019,3.3587041879491837,265.3319919517103,230.2178145531298,55.58531911176455,16.535836162708566,0.7929706335358445,0.31537116198945214,2.365146511229156,2.0971246325244692,2.962320958971006,2.822887611667994,0.2088019907356547,14.312048722235543,1.0279903546255431
ADAPTIVE-PD-EIG-COST-AWARE,correct,843,1.0,0.8030842230130486,10.538552787663107,3.2069359649261036,251.77342823250297,225.62534824995308,51.84465906826485,14.804610831352086,0.905398235277342,0.17250078975039293,0.45363855530953856,0.0,2.819419417731055,2.544438039601559,0.21648737387398187,15.23106156663171,0.9993998493136649
ADAPTIVE-PD-EIG-COST-AWARE,incorrect,151,0.0,0.0,14.993377483443709,0.08137884587711595,341.02649006622516,241.46174153876132,76.46860663938206,7.884436284215549,0.165311903283643,0.15416433549767827,0.0,2.480987021575597,0.0,2.480987021575597,0.012980132450331127,38.51376058580961,1.257587597394191
EIG,all,1000,0.794,0.579,11.376,3.6074419798019814,633.71,682.5396664636395,61.792301361083986,19.393370390986494,0.7350992368488719,0.3433233608087343,2.61692434022693,2.3919027033471707,3.0846266661241515,3.024161668459179,0.22359157038839536,42.30424681296018,1.202013550078635
