condition,subset,n,correct_rate,correct_converge_rate,avg_questions,std_questions,avg_cost,std_cost,avg_duration,std_duration,avg_confidence,std_confidence,ci_accuracy_lower,ci_accuracy_upper,ci_convergence_lower,ci_convergence_upper,ci_questions,ci_cost,ci_duration
EIG-COST-AWARE,all,100,0.99,0.96,7.99,2.976320689792155,152.6,175.02738602454718,1385.0230954837798,515.0030120114162,0.9535903947494362,0.06012160533365712,4.4487524760934605,0.8232613434452531,5.837217232607372,2.433694944815201,0.5833588551992623,34.30536766081125,100.94059035423759
EIG-COST-AWARE,correct,99,1.0,0.9696969696969697,7.91919191919192,2.90557791391172,151.86868686868686,175.76449029965897,1373.6496596408613,504.84355236032565,0.957691796308621,0.04418344612670074,3.7354533573962243,0.0,5.503520086222693,1.994457841395942,0.5723622730179978,34.623392028859975,99.44782473873659
EIG-COST-AWARE,incorrect,1,0.0,0.0,15.0,,225.0,,2510.993243932724,,0.5475516403901466,,0.0,79.34567085261071,0.0,79.34567085261071,,,
LLM-SELECT,all,100,0.35,0.0,15.0,0.0,1595.7,1165.4888036850252,1120.3585567975044,89.13233891749978,0.2714473538709218,0.1334422499017803,8.63589534652198,9.74573957080203,0.0,3.699480747600191,0.0,228.43580552226493,17.46993842782996
LLM-SELECT,correct,35,1.0,0.0,15.0,0.0,1697.142857142857,1044.3956074562693,1130.8719175474985,82.56880344447858,0.25352709629030185,0.11375903442698185,9.890426758938872,0.0,0.0,9.890426758938869,0.0,346.0087533744843,27.355083211265917
LLM-SELECT,incorrect,65,0.0,0.0,15.0,0.0,1541.076923076923,1230.078913978849,1114.6975163936615,92.59813257214542,0.2810967233374094,0.1428278380234647,0.0,5.580346767071073,0.0,5.580346767071073,0.0,299.0421227735307,22.511354202203098
TRUNCATED-EIG-COST-AWARE,all,100,0.99,0.95,8.1,2.757908737804898,187.7,239.24694566514538,845.9398361611367,254.13689787720105,0.9548572842522097,0.04619781762631976,4.4487524760934605,0.8232613434452531,6.175196527208826,2.845663854368638,0.54055011260976,46.892401350368495,49.81083198393141
TRUNCATED-EIG-COST-AWARE,correct,99,1.0,0.9595959595959596,8.030303030303031,2.6819675440309902,185.95959595959596,239.82740048694373,841.8278453711307,252.06447360475264,0.9576388639242251,0.03707293704879106,3.7354533573962243,0.0,5.891764283573764,2.4581657429368278,0.5283138450056081,47.24297889844003,49.65352825981205
TRUNCATED-EIG-COST-AWARE,incorrect,1,0.0,0.0,15.0,,360.0,,1253.0269243717194,,0.6794808967226778,,0.0,79.34567085261071,0.0,79.34567085261071,,,
TRUNCATED-PD-COST-AWARE,all,100,0.99,0.97,7.98,2.810442288784073,288.75,811.4460141244049,810.5979004836082,268.20584359341933,0.9587712640914562,0.04470398011105797,4.4487524760934605,0.8232613434452531,5.4520780804027,1.9745661776585024,0.5508466886016783,159.04341876838336,52.56834534431019
TRUNCATED-PD-COST-AWARE,correct,99,1.0,0.9797979797979798,7.909090909090909,2.7333574670488336,279.44444444444446,810.1948899105623,804.4300759296225,262.3459059456888,0.9610845005303018,0.03844829764568093,3.7354533573962243,0.0,5.048967606666295,1.4644416576497008,0.5384370129330218,159.59819440961832,51.678841006155345
TRUNCATED-PD-COST-AWARE,incorrect,1,0.0,0.0,15.0,,1210.0,,1421.2125313282013,,0.7297608566457401,,0.0,79.34567085261071,0.0,79.34567085261071,,,
TRUNCATED-PD-EIG-COST-AWARE,all,100,0.99,0.93,8.15,2.9072358352944465,180.25,228.86453913336436,825.0303768157959,310.5738451084043,0.9541679408428431,0.04898568548647247,4.4487524760934605,0.8232613434452531,6.749671006529738,3.5681175635935887,0.5698182237177115,44.85744967013941,60.87247364124725
TRUNCATED-PD-EIG-COST-AWARE,correct,99,1.0,0.9393939393939394,8.080808080808081,2.838067636926711,159.1919191919192,90.09265941780716,818.7443849317955,305.6937516971727,0.9564122923798256,0.04376336111336135,3.7354533573962243,0.0,6.5363357038896055,3.2536645716323136,0.5590635982854405,17.747119800064375,60.21782094744722
TRUNCATED-PD-EIG-COST-AWARE,incorrect,1,0.0,0.0,15.0,,2265.0,,1447.3435733318329,,0.7319771386815557,,0.0,79.34567085261071,0.0,79.34567085261071,,,
