condition,subset,n,correct_rate,correct_converge_rate,avg_questions,std_questions,avg_cost,std_cost,avg_duration,std_duration,avg_confidence,std_confidence,ci_accuracy_lower,ci_accuracy_upper,ci_convergence_lower,ci_convergence_upper,ci_questions,ci_cost,ci_duration
ADAPTIVE-PD-COST-AWARE,all,200,0.81,0.805,4.74,3.3688493181861396,148.2,267.9064750934268,159.63992916584016,125.39972309365893,0.9491754656529651,0.13316829613535008,6.001358574479383,4.832906207543516,6.044164796511808,4.894558435494233,0.4668986947462789,37.12994311142001,17.37951493345454
ADAPTIVE-PD-COST-AWARE,correct,162,1.0,0.9938271604938271,4.592592592592593,3.018690340753907,157.71604938271605,288.7282560259282,152.92809723188847,108.4442559198858,0.9776224638181175,0.02680216029126618,2.3164272414158944,0.0,2.7960671220019435,0.5082377477640279,0.46485459600987317,44.461883022439444,16.6995634148549
ADAPTIVE-PD-COST-AWARE,incorrect,38,0.0,0.0,5.368421052631579,4.570298071961154,107.63157894736842,145.58241300314378,188.25352846321306,179.90221567484429,0.8279014208436317,0.27130283442535913,0.0,9.181293258383999,0.0,9.181293258383999,1.453144486520456,46.288508420870556,57.200626459038524
EIG-COST-AWARE,all,200,0.805,0.79,4.815,3.1829910714301444,162.95,455.2370275540879,230.43656964659692,151.69902046714637,0.9582303634702461,0.101589704546119,6.044164796511808,4.894558435494233,6.16473881539919,5.071670472136589,0.4411400559286399,63.092633089217735,21.02441159004851
EIG-COST-AWARE,correct,161,1.0,0.9813664596273292,4.913043478260869,3.10119191672296,184.03726708074535,504.0270688192098,232.9498615250084,146.14042897659778,0.9738754204604133,0.04118620356948551,2.330479684739771,0.0,3.4712957110134113,1.227666200860213,0.47903999777753364,77.85687968067167,22.57425939834577
EIG-COST-AWARE,incorrect,39,0.0,0.0,4.410256410256411,3.5147654613520216,75.8974358974359,77.26298047025561,220.0611852254623,174.50431290200225,0.8936443589723766,0.20392686145965064,0.0,8.966985360023902,0.0,8.966985360023902,1.1031132925930016,24.249077703553848,54.76838477380482
TRUNCATED-PD-COST-AWARE,all,200,0.8,0.795,4.74,3.3192600737492586,181.85,398.44903774308705,108.11478324890136,82.02976442613759,0.9612316892291252,0.09478280770073952,6.085639611170421,4.95487925607118,6.12581951807455,5.013905168893629,0.4600259761072927,55.22221924289673,11.368745326231954
TRUNCATED-PD-COST-AWARE,correct,160,1.0,0.99375,4.89375,3.2400731317936433,196.96875,421.34372382710364,111.72108768969774,80.20993732477517,0.9776400004196191,0.027130566751510855,2.34470366500328,0.0,2.829984533751599,0.5145896645608303,0.5020545332171589,65.28788641041966,12.428658553356476
TRUNCATED-PD-COST-AWARE,incorrect,40,0.0,0.0,4.125,3.5962052649553122,121.375,285.6997426472729,93.68956548571586,88.53442173940445,0.8955984444671481,0.1931753188622076,0.0,8.762453925039232,0.0,8.762453925039232,1.114475557933313,88.53926754155397,27.43710155419955
TRUNCATED-PD-EIG-COST-AWARE,all,200,0.76,0.745,4.62,3.2878029504831994,172.65,412.7301885526592,109.27491195917129,82.53377382123482,0.9499922640847508,0.11394469095216923,6.373465455727995,5.393473147975328,6.463051307194974,5.539597017197266,0.4556662412523945,57.20148576469358,11.43859746459873
TRUNCATED-PD-EIG-COST-AWARE,correct,152,1.0,0.9802631578947368,4.651315789473684,3.056336092482732,184.44078947368422,418.46912319419965,107.43532791106324,73.73488791301587,0.9732484298147857,0.05043872470941714,2.4650670937670185,0.0,3.6679930329943886,1.3002312192444947,0.4858871206882747,66.52696274662907,11.722150738083583
TRUNCATED-PD-EIG-COST-AWARE,incorrect,48,0.0,0.0,4.520833333333333,3.9679009045907994,135.3125,395.94407278881664,115.1002614448468,106.43625685934887,0.8763477392729735,0.19877301629433997,0.0,7.41026511527422,0.0,7.41026511527422,1.1225256411377962,112.01322433424343,30.110990759147803
